line,method,path,function_name,domain,risk,uses_subprocess,uses_systemctl,uses_storage,uses_safety,uses_mount,uses_dcc_aggregation,uses_file_scan,recommended_action
17015,POST,/api/control-center/ssh/start,start_ssh,runtime,high,no,no,no,no,no,no,no,unsafe
17028,GET,/api/control-center/vnc/status,get_vnc_status,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17039,POST,/api/control-center/vnc/set,set_vnc_enabled,runtime,high,no,no,no,no,no,no,no,unsafe
17055,POST,/api/control-center/vnc/start,start_vnc,runtime,high,no,no,no,no,no,no,no,unsafe
17068,GET,/api/control-center/keyboard,get_keyboard_layout,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17079,POST,/api/control-center/keyboard/set,set_keyboard_layout,runtime,high,no,no,no,no,no,no,no,unsafe
17096,GET,/api/control-center/locale,get_locale,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17107,POST,/api/control-center/locale/set,set_locale,runtime,high,no,no,no,no,no,no,no,unsafe
17123,GET,/api/control-center/desktop,get_desktop_settings,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17134,GET,/api/control-center/desktop/boot-target,get_desktop_boot_target,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17145,POST,/api/control-center/desktop/boot-target,set_desktop_boot_target,runtime,high,no,no,no,no,no,no,no,unsafe
17168,GET,/api/control-center/display,get_display_settings,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17179,POST,/api/control-center/display,set_display_settings,runtime,high,no,no,no,no,no,no,no,unsafe
17210,GET,/api/control-center/display/telemetry,get_display_telemetry_settings,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
17222,POST,/api/control-center/display/telemetry,set_display_telemetry_settings,runtime,high,yes,no,no,no,no,no,no,unsafe
17253,POST,/api/control-center/display/telemetry/runner,set_display_telemetry_runner,runtime,high,yes,no,no,no,no,no,no,unsafe
17276,GET,/api/control-center/printers,get_printers,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
17288,GET,/api/control-center/scanners,get_scanners,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
17300,GET,/api/control-center/performance,get_performance,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
17312,POST,/api/control-center/performance,set_performance,runtime,high,yes,no,no,no,no,no,no,unsafe
17348,POST,/api/system/reboot,reboot_system,runtime,high,yes,no,no,no,no,no,no,unsafe
17370,POST,/api/raspberry-pi/config/reset,reset_raspberry_pi_config,runtime,high,yes,no,no,no,no,no,no,unsafe
17410,POST,/api/system/packagekit/stop,stop_packagekit,runtime,high,no,no,no,no,no,no,no,unsafe
17423,GET,/api/control-center/bluetooth/status,get_bluetooth_status,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17435,POST,/api/control-center/bluetooth/scan,bluetooth_scan,runtime,high,no,no,no,no,no,no,no,unsafe
17448,POST,/api/control-center/bluetooth/enabled,bluetooth_set_enabled,runtime,high,no,no,no,no,no,no,no,unsafe
